city,state,county_name,lat,lng,population
Bellingham,Washington,Whatcom,48.7543,-122.4687,130641
Santa Clara,California,Santa Clara,37.3645,-121.968,130365
Racine,Wisconsin,Racine,42.7274,-87.8135,130142
Greenville,North Carolina,Pitt,35.5956,-77.3768,130118
Stamford,Connecticut,Fairfield,41.1035,-73.5583,129638
Elizabeth,New Jersey,Union,40.6657,-74.1912,129216
Johnson City,Tennessee,Washington,36.3406,-82.3803,127571
Lynchburg,Virginia,Lynchburg,37.4003,-79.1909,126814
Simi Valley,California,Ventura,34.2663,-118.749,126589
Fort Smith,Arkansas,Sebastian,35.3493,-94.3695,125354
Kenosha,Wisconsin,Kenosha,42.5864,-87.8765,124972
Norman,Oklahoma,Cleveland,35.2335,-97.3471,124880
South Lyon,Michigan,Oakland,42.4614,-83.6526,124694
Boulder,Colorado,Boulder,40.0249,-105.2523,124345
Abilene,Texas,Taylor,32.4543,-99.7384,123420
Lehigh Acres,Florida,Lee,26.612,-81.6388,123378
Pearland,Texas,Brazoria,29.5585,-95.3215,122460
Berkeley,California,Alameda,37.8723,-122.276,121363
Richardson,Texas,Dallas,32.9717,-96.7093,121323
Redding,California,Shasta,40.5698,-122.365,121313
Arvada,Colorado,Jefferson,39.8321,-105.1511,121272
East Los Angeles,California,Los Angeles,34.0326,-118.1691,121187
St. George,Utah,Washington,37.077,-113.577,120899
Billings,Montana,Yellowstone,45.7891,-108.5524,120728
Yuba City,California,Sutter,39.1357,-121.6381,120456
Rochester,Minnesota,Olmsted,44.0151,-92.4778,119942
Leominster,Massachusetts,Worcester,42.5209,-71.7717,119690
Kingsport,Tennessee,Sullivan,36.5224,-82.5453,119666
Duluth,Minnesota,St. Louis,46.7756,-92.1392,119476
Rock Hill,South Carolina,York,34.9416,-81.0244,119105
Gilroy,California,Santa Clara,37.0047,-121.5855,118993
Cambridge,Massachusetts,Middlesex,42.3759,-71.1185,118927
Sugar Land,Texas,Fort Bend,29.5935,-95.6357,118488
Texas City,Texas,Galveston,29.4128,-94.9658,118169
Iowa City,Iowa,Johnson,41.6559,-91.5303,118041
Saginaw,Michigan,Saginaw,43.4199,-83.9501,117958
Chico,California,Butte,39.7575,-121.8152,117668
Dover,Delaware,Kent,39.161,-75.5203,117282
Clearwater,Florida,Pinellas,27.9789,-82.7622,116946
Coeur d'Alene,Idaho,Kootenai,47.7041,-116.7935,116834
Seaside,California,Monterey,36.6224,-121.8191,116720
Independence,Missouri,Jackson,39.0871,-94.3501,116672
West Jordan,Utah,Salt Lake,40.6024,-112.0008,116480
Brandon,Florida,Hillsborough,27.9367,-82.3,115911
Bloomington,Indiana,Monroe,39.1637,-86.5257,115884
El Monte,California,Los Angeles,34.0739,-118.0291,115487
North Charleston,South Carolina,Charleston,32.9066,-80.0722,115382
Carlsbad,California,San Diego,33.1247,-117.2837,115382
St. Cloud,Minnesota,Stearns,45.5339,-94.1718,115028
Temecula,California,Riverside,33.4928,-117.1315,114761
Clovis,California,Fresno,36.8278,-119.6831,114584
Meridian,Idaho,Ada,43.6112,-116.3968,114161
The Woodlands,Texas,Montgomery,30.1738,-95.5134,113819
Ponce,Puerto Rico,Ponce,18.012,-66.6198,113401
Westminster,Colorado,Adams,39.8837,-105.0624,113166
Costa Mesa,California,Orange,33.6667,-117.9135,113003
Monroe,Louisiana,Ouachita,32.5183,-92.0774,112891
Utica,New York,Oneida,43.0961,-75.226,112650
Pompano Beach,Florida,Broward,26.2428,-80.1312,112118
West Palm Beach,Florida,Palm Beach,26.7468,-80.1316,111955
Waterloo,Iowa,Black Hawk,42.492,-92.3522,111631
Everett,Washington,Snohomish,47.9525,-122.1669,111475
El Centro,California,Imperial,32.7867,-115.5586,111425
Santa Fe,New Mexico,Santa Fe,35.6619,-105.9819,111269
Downey,California,Los Angeles,33.9379,-118.1312,111126
Spring Hill,Florida,Hernando,28.4797,-82.53,111076
Lowell,Massachusetts,Middlesex,42.6389,-71.3217,110997
Centennial,Colorado,Arapahoe,39.5926,-104.8674,110937
Elgin,Illinois,Kane,42.0385,-88.3229,110849
Richmond,California,Contra Costa,37.9477,-122.339,110567
Broken Arrow,Oklahoma,Tulsa,36.0365,-95.7809,110198
Miami Gardens,Florida,Miami-Dade,25.9433,-80.2426,110001
Bend,Oregon,Deschutes,44.0562,-121.3087,109802
Burlington,Vermont,Chittenden,44.4877,-73.2314,109763
Jurupa Valley,California,Riverside,34.001,-117.4705,109527
Sandy Springs,Georgia,Fulton,33.9366,-84.3703,109452
Gresham,Oregon,Multnomah,45.5023,-122.4413,109381
Lewisville,Texas,Denton,33.0452,-96.9823,109212
Hillsboro,Oregon,Washington,45.5272,-122.9361,109128
San Buenaventura,California,Ventura,34.2741,-119.2314,109106
Jacksonville,North Carolina,Onslow,34.7288,-77.3941,108856
Pottstown,Pennsylvania,Montgomery,40.2507,-75.6444,108758
Inglewood,California,Los Angeles,33.9566,-118.3444,108151
League City,Texas,Galveston,29.4873,-95.1087,107536
Eau Claire,Wisconsin,Eau Claire,44.8199,-91.4949,107404
Turlock,California,Stanislaus,37.5053,-120.8588,107317
Temple,Texas,Bell,31.1076,-97.3894,107258
